product_id,product_line,product_name,cost,list_price
PROD000000,Clothing,Product_0_W9NSH,246.23,321.73
PROD000001,Toys,Product_1_H3VOD,243.21,315.43
PROD000002,Home & Kitchen,Product_2_MVKVP,264,356.4
PROD000003,Clothing,Product_3_8Q7VN,146.3,195.58
PROD000004,Health & Fitness,Product_4_61MAN,128.8,162.83
PROD000005,Cosmetics,Product_5_66HAN,334.24,451.22
PROD000006,Gardening,Product_6_D8AA1,115.5,150.85
PROD000007,Electronics,Product_7_GXU0G,68.31,88.67
PROD000008,Automotive,Product_8_M9QWR,87.35,113.39
PROD000009,Toys,Product_9_MEYUT,280.48,357.46
PROD000010,Home & Kitchen,Product_10_532HD,336.02,416.87
PROD000011,Toys,Product_11_5ORFX,123.39,152.72
PROD000012,Home & Kitchen,Product_12_5EE69,461.73,610.62
PROD000013,Home & Kitchen,Product_13_KLO72,214.18,289.14
PROD000014,Office Supplies,Product_14_6X3SV,488.03,635.59
PROD000015,Office Supplies,Product_15_HG1AO,62.18,81.76
PROD000016,Gardening,Product_16_EK8F3,73.93,99.09
PROD000017,Clothing,Product_17_CDOXJ,310.54,412.73
PROD000018,Home & Kitchen,Product_18_29A3O,78.72,103.42
PROD000019,Toys,Product_19_6LTX5,362.05,488.77
PROD000020,Health & Fitness,Product_20_1NMPL,489.36,656.27
PROD000021,Home & Kitchen,Product_21_FC5MA,103.02,126.79
PROD000022,Cosmetics,Product_22_K09QV,426.3,546.52
PROD000023,Home & Kitchen,Product_23_XV57V,260.25,325.57
PROD000024,Music,Product_24_HCJNQ,167.24,222.76
PROD000025,Electronics,Product_25_9FFS3,230.52,278.15
PROD000026,Toys,Product_26_ODL4T,465.92,628.99
PROD000027,Clothing,Product_27_9NT3F,391.81,497.94
PROD000028,Automotive,Product_28_WME52,106.28,139.26
PROD000029,Automotive,Product_29_7O8EJ,386.09,446.07
PROD000030,Home & Kitchen,Product_30_306KH,140.28,188.29
PROD000031,Grocery,Product_31_G0S98,391.88,513.41
PROD000032,Gardening,Product_32_XNDI1,350.32,435.64
PROD000033,Office Supplies,Product_33_N7G60,465.97,626.5
